Datum,Text,Ort,Lat,Lon,Jahr,Arrondissement,Quartier,PLZ,geometry,Lat_jitter,Lon_jitter
2023-06-19,"Le 19 juin 2023, vers 17 h, un homme âgé de 22 ans est retrouvé devant l'hôpital militaire Lavéran, dans le 13e arrondissement de Marseille. Blessé par balles, il succombe à ses blessures quelques jours plus tard[58].",l'hôpital militaire Lavéran,43.326967,5.413734,2023,Marseille 13e Arrondissemen,MALPASSE,13013,POINT (5.413734 43.326967),43.326967,5.413734
2023-07-20,"Le 20 juillet 2023, vers 21 h 30, un jeune homme âgé de 17 ans est atteint de plusieurs balles, cité des Tourmarines, dans le quartier de la Cabucelle, dans le 15e arrondissement de Marseille. Grièvement blessé, il succombe à ses blessures quelques jours plus tard[57].",La Cabucelle,43.333208,5.361785,2023,Marseille 15e Arrondissemen,LA CABUCELLE,13015,POINT (5.361812700105249 43.33332887456942),43.33332887456942,5.361812700105249
2023-07-25,"Le 25 juillet 2023, vers 2 h, le corps carbonisé d'un homme est découvert près d'une voiture brûlée, impasse Jolie-Manon, dans le quartier de la Belle de Mai, dans le 3e arrondissement de Marseille[56].",belle de mai,43.312173,5.385983,2023,Marseille 3e Arrondissemen,BELLE DE MAI,13003,POINT (5.3860842760893215 43.312065752905184),43.312065752905184,5.3860842760893215
2023-07-27,"Le 27 juillet 2023, vers 3 h, un homme âgé de 33 ans est abattu, cité de la Paternelle, dans le 14e arrondissement de Marseille[55].",cité de la paternelle,43.338926,5.393644,2023,Marseille 14e Arrondissemen,SAINTE MARTHE,13014,POINT (5.3936511396522 43.33908861620737),43.33908861620737,5.3936511396522
2023-07-30,"Le 30 juillet 2023, vers 23 h 30, un homme âgé de 32 ans, connu des services de police, est abattu dans le quartier du Merlan, dans le 14e arrondissement de Marseille[54].",merlan,43.330453,5.401363,2023,Marseille 14e Arrondissemen,SAINT BARTHELEMY,13014,POINT (5.401363 43.330453),43.330453,5.401363
2023-08-03,"Le 3 août 2023, vers 23 h, un homme âgé de 34 ans est abattu de plusieurs tirs de 9mm, cité des Rosiers, dans le 14e arrondissement de Marseille[53].",cité des rosier,43.322226,5.387397,2023,Marseille 14e Arrondissemen,BON SECOURS,13014,POINT (5.3873149106821145 43.322128271899494),43.322128271899494,5.3873149106821145
2023-08-04,"Le 4 août 2023, peu après 23 h, un homme âgé de 39 ans est abattu à la kalachnikov, résidence Beau-Plan, dans le 13e arrondissement de Marseille[52].",residence beau plan 13e,43.316087,5.41239,2023,Marseille 13e Arrondissemen,SAINT JUST,13013,POINT (5.41239 43.316087),43.316087,5.41239
2023-08-09,"Le 9 août 2023, vers 10 h, un homme âgé de 21 ans est abattu, cité du Parc Kalliste, dans le 15e arrondissement de Marseille[51].",cité du parc Kalliste,43.385413,5.365668,2023,Marseille 15e Arrondissemen,NOTRE DAME LIMITE,13015,POINT (5.365668 43.385413),43.385413,5.365668
2023-08-10,"Le 10 août 2023, vers 1 h, un homme âgé de 28 ans est abattu à la kalachnikov, dans un commerce d’alimentation du quartier de Saint-Gabriel, dans le 14e arrondissement de Marseille[50].",saint gabriel,43.321636,5.381683,2023,Marseille 14e Arrondissemen,BON SECOURS,13014,POINT (5.381683 43.321636),43.321636,5.381683
2023-08-12,"Le 12 août 2023, vers 4 h 30, un homme âgé de 21 ans est abattu à la kalachnikov, devant une boîte de nuit du quartier de La Pomme, dans le 11e arrondissement de Marseille[49].",la pomme,43.291385,5.440169,2023,Marseille 11e Arrondissemen,LA POMME,13011,POINT (5.440189030524407 43.29140524195469),43.29140524195469,5.440189030524407
2023-08-13,"Le 13 août 2023, vers 22 h 30, un homme âgé de 24 ans est tué par balles, cité de la Cayolle, dans le 9e arrondissement de Marseille[48].",La Cayolle,43.229985,5.4024,2023,Marseille 9e Arrondissemen,SORMIOU,13009,POINT (5.4024 43.229985),43.229985,5.4024
2023-08-15,"Le 15 août 2023, vers 19 h 30, un homme âgé d'une trentaine d'années est tué par balles dans le quartier du Canet dans le 14e arrondissement de Marseille[47].",le canet,43.326244,5.376908,2023,Marseille 14e Arrondissemen,LE CANET,13014,POINT (5.376908 43.326244),43.326244,5.376908
2023-08-26,"Le 26 août 2023, vers 4h, un jeune homme âgé de 17 ans est abattu de plusieurs tirs de 9mm, cité des Rosiers, dans le 14e arrondissement de Marseille[46].",cité des rosier,43.322226,5.387397,2023,Marseille 14e Arrondissemen,BON SECOURS,13014,POINT (5.387426078518208 43.322131723805946),43.322131723805946,5.387426078518208
2023-08-31,"Le 31 août 2023, vers 23 h 30, un homme âgé de 20 ans est abattu à la kalachnikov, cité des Micocouliers, dans le 14e arrondissement de Marseille[44].",cité des micocouliers,43.347369,5.380743,2023,Marseille 14e Arrondissemen,SAINT JOSEPH,13014,POINT (5.380669140840478 43.34753140055281),43.34753140055281,5.380669140840478
2023-08-31,"Le 31 août 2023, vers 3 h 30, un homme âgé de 26 ans est abattu, cité des Rosiers, dans le 14e arrondissement de Marseille[45].",cité des rosier,43.322226,5.387397,2023,Marseille 14e Arrondissemen,BON SECOURS,13014,POINT (5.387272411416606 43.32222588632279),43.32222588632279,5.387272411416606
2023-09-10,"Le 10 septembre 2023, vers 23 h, une fusillade éclate cité Saint-Thys, dans le 10e arrondissement de Marseille. Une femme âgée de 24 ans est touchée par une une balle de kalachnikov alors qu'elle se trouvait chez elle[42]. Elle meurt de ses blessures quelques heures plus tard[43].",cité Saint-Thys,43.280777,5.439491,2023,Marseille 10e Arrondissemen,SAINT LOUP,13010,POINT (5.439491 43.280777),43.280777,5.439491
2023-09-11,"Le 11 septembre 2023, vers 22 h 45, un homme âgé de 55 ans est abattu à la kalachnikov dans le quartier de l'Estaque, dans le 16e arrondissement de Marseille.",estaque,43.363358,5.309922,2023,Marseille 16e Arrondissemen,L'ESTAQUE,13016,POINT (5.310004568502126 43.36318182662982),43.36318182662982,5.310004568502126
2023-09-12,"Le 12 septembre 2023, vers 7 h, le corps d'un homme atteint de plusieurs balles est découvert dans une voiture calcinée dans la commune de Saint-Mitre-les-Remparts, près de Marseille[41].",Saint-Mitre-les-Remparts,43.439735,5.035103,2023,,,,POINT (5.035103 43.439735),43.439735,5.035103
